Identifier,project_url,general_description,objectives,beneficiaries,status,notes
P-GN-AB0-002,https://mapafrica.afdb.org/en/projects/46002-P-GN-AB0-002,"Le projet vise à assurer à la région de Siguiri l'autosuffisance alimentaire et le développement économique et social des populations de cette région enclavée qui regorge d'énormes potentialités économiques et humaines.  Le projet devait permettre en particulier une production stable de riz sur 6.920 ha, de produire plus de produits vivriers et d'améliorer le niveau de vie des populations de la région.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-GN-AB0-002
P-MZ-AA0-005,https://mapafrica.afdb.org/en/projects/46002-P-MZ-AA0-005,To increase agricultural production and improve living standards of people in the project area.,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MZ-AA0-005
P-CG-AA0-002,https://mapafrica.afdb.org/en/projects/46002-P-CG-AA0-002,I/ Intensifier et diversifier la production agricole ; II/ réduire la dépendance alimentaire du pays ; et III/ améliorer les infrastructures économiques et sociales.,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-CG-AA0-002
P-ET-AA0-003,https://mapafrica.afdb.org/en/projects/46002-P-ET-AA0-003,"Production of about 1,250 tons of made tea per year from the project's 500 ha, resulting in foreign exchange savings of some estimated US$ 2.0 million per year.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ET-AA0-003
P-UG-AA0-011,https://mapafrica.afdb.org/en/projects/46002-P-UG-AA0-011,"The project aims at achieving the following goals: - regain the losses in foreign exchange earnings through the production of good quality coffee and increased clean coffee outout at the factories for export; - improve the marketing mechanism through the provision of effective transport facilities and thereby minimize the frustation of the coffee farmers due to failures or delays in coffee purchase after harvest; - and create a revolving credit fund for the smallholder coffee farmers for the purchase of production inputs such as hoes, pruning knives, etc.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-UG-AA0-011
P-UG-AA0-002,https://mapafrica.afdb.org/en/projects/46002-P-UG-AA0-002,"The project output amounting to about 60,000 tonnes of white sugar at full capacity production would alleviate the acute shortages now prevalent in the country.Thus the project output together with the output expected from other units in the country could go entirely to the satisfaction of local demand. Although the sugar industry is generally fairly capital intensive factory-wise,the plantation requires large numbers of workers especially for harvesting. SCOUL will employ about 6,000 people and assuming a dependency ratio of 5 to 1, some 30,000 people will be indirectly supported.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-UG-AA0-002
P-GH-AA0-012,https://mapafrica.afdb.org/en/projects/46002-P-GH-AA0-012,The main project activities include : i) geotechnical and site surveys; ii) preparation of detailed engineering design and tender documents; iii) manufacture and devivery of equipment; iv) erection and commissioning of the various components of the project; and v) supervision of project implementation.,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-GH-AA0-012
P-ML-AB0-002,https://mapafrica.afdb.org/en/projects/46002-P-ML-AB0-002,"The present intervention concerns the Selingué Rural Development Project. It includes the development of a hydro-agricultural perimeter of 1120 ha net to compensate for crop losses caused by the dam's impoundment. The project also aims to improve the social and general living conditions of the populations concerned by the construction of new improved housing, health assistance, drinking water supply and the construction of health centres, maternity units, community centres and schools. The main components of the project are: (A) hydro-agricultural development; (B) monitoring; (C) population transfer and resettlement operations; (D) feeder road; (E) food aid; (F) social infrastructure and (G) management society.","The objective of the project is to relocate the populations affected by the impoundment of the Sélingué dam, whose lands and villages should be flooded in 1980, to develop new irrigated crop lands in order to ensure a regular supply basic foodstuffs whatever the climatic hazards - unlike the current situation - through total water control in the area.",The main beneficiaries of the project are the rural populations of the Selingué dam area in the Sikasso region.,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ML-AB0-002
P-ZM-AAG-001,https://mapafrica.afdb.org/en/projects/46002-P-ZM-AAG-001,,The project is designed to achieve the following objectives: - to reduce sugar imports through the production of cane for sale to an existing Nakambala Estate Sugar Factory for milling and processing into sugar for the local market; - to improve the standard of living of some 302 participating smallholder families by providing them with cash income and simple two-room houses with pipe-borne water and sanitation facilities; - to create job opportunities for the rural population in the project locality.,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ZM-AAG-001
P-SD-AAC-001,https://mapafrica.afdb.org/en/projects/46002-P-SD-AAC-001,"production of wheat, sorghum, groundnuts and cotton increased.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SD-AAC-001
P-SN-AA0-005,https://mapafrica.afdb.org/en/projects/46002-P-SN-AA0-005,,"Groupe cible
Initialement, le groupe cible était constitué des catégories les plus défavorisées: les femmes et les jeunes ménages dépendants n'ayant pas accès aux services de crédit et de vulgarisation.
Objectifs et composantes du projet
Les objectifs initiaux du projet étaient l'augmentation de la production agricole (vivrière et arachidière), l'amélioration des conditions de vie des populations rurales et la restructuration du système coopératif sur la base de groupements volontaires.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SN-AA0-005
P-KM-AAF-002,https://mapafrica.afdb.org/en/projects/46002-P-KM-AAF-002,,"The objectives of the artisanal fishing development project were to significantly and rapidly increase fish production for the national market, and at the same time to improve and increase conservation and extend the distribution network throughout the country. The additional annual production resulting from the project was estimated at 867 tonnes, corresponding to an increase in national production of around 20%.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-KM-AAF-002
P-BI-A00-001,https://mapafrica.afdb.org/en/projects/46002-P-BI-A00-001,,"Réalisation d'un ensemble de programmes visant les objectifs suivants: - aménagement de 5.950 ha de terres pour la riziculture dont 2.400 hasous irrigation; - construction/amélioration du réseau routier (150 km); - adduction d'eau potable (100 points d'eau); - construction d'écoles (15), de magasins (15), de dispensaires (15); - installation de 5.320 familles sur les terres aménagés.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-BI-A00-001
P-MZ-AA0-004,https://mapafrica.afdb.org/en/projects/46002-P-MZ-AA0-004,,"The main objectives of the project were to increase food production throug the rehabilitation and expansion of four abandoned farms in lioma area, to create employment opportunities to people; and to improve the living standard of people in lioma project area.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MZ-AA0-004
P-GN-AA0-003,https://mapafrica.afdb.org/en/projects/46002-P-GN-AA0-003,"Le projet comprend deux volets : - Opération Nationale pour le Développement de la Riziculture ; - Construction et équipement d'un centre pilote à Guéckédou. Composantes FAD ---------------- - les constructions des bureaux, des logements et des magasins ; - l'acquisition des engrais ; - l'assistance technique.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-GN-AA0-003
P-LR-AA0-004,https://mapafrica.afdb.org/en/projects/46002-P-LR-AA0-004,,"Le projet d'appui institutionnel au Secretariat d'Etat au Plan a pour objectif de: i)  renforcer les capacités de planification du développement et de la programmation économique du Secretariat d'Etat au Plan, notamment la Direction Générale de la planification (DGP). ii) fournir l'appui logistique indispensable au Secretariat d'Etat au plan en créant un environnement propice pour mener à bien ses tâches.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-LR-AA0-004
P-CG-AA0-003,https://mapafrica.afdb.org/en/projects/46002-P-CG-AA0-003,"Le projet vise le redressement économique de la région d'Ouesso par l'augmentation d'huile de palme et celle des palmistes. La réalisation du projet permettra d'accroître la production d'huile de palme qui passera de 3000 à 6700 tonnes, et celle des palmistes à 1600 tonnes.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-CG-AA0-003
P-SO-AA0-004,https://mapafrica.afdb.org/en/projects/46002-P-SO-AA0-004,"The project aims at increasing crop and livestock production in the Bay Region by improving the potable water supply, upgrading the rural road network, promoting the development of an integrated crop and livestock farming system, and supporting institutions serving agriculture in the Region.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SO-AA0-004
P-SL-AB0-001,https://mapafrica.afdb.org/en/projects/46002-P-SL-AB0-001,"The project would increase food production, particularly rice and incomes of the participating farmers, improve potable water supply and health facilities, upgrade rural roads, develop an intensive permanent and integrated farming system and assist institutions providing services to the farmers in the area.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SL-AB0-001
P-GA-AAB-001,https://mapafrica.afdb.org/en/projects/46002-P-GA-AAB-001,Améliorer les conditions de vie des populations rurales par la pratique de la riziculture irriguée.,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-GA-AAB-001
P-ZR-AA0-005,https://mapafrica.afdb.org/en/projects/46002-P-ZR-AA0-005,"Développement de la cacaoculture villageoise (8000 ha) en association avec les cultures vivrières (riz, banane plantain, manioc, soja) Promotion et réhabilitation des services sociaux (santé, éducation; transport; pistes):",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ZR-AA0-005
P-GW-AA0-001,https://mapafrica.afdb.org/en/projects/46002-P-GW-AA0-001,,"L'objectif du projet est d'accroître la production locale de viande porcine et d'oeufs afin d'atténuer la carence en protéïnes d'origine anaimale, ainsi que de faire baisser les importations de ces produits.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-GW-AA0-001
P-CF-AAE-001,https://mapafrica.afdb.org/en/projects/46002-P-CF-AAE-001,Le projet vise l'amélioration des conditions de vie des éleveurs M'bororo dans la zone ouest de l'Empire Centrafricain par l'amélioration des services de l'élevage et la limitation de la dégradation des pâturages.,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-CF-AAE-001
P-MA-AAC-001,https://mapafrica.afdb.org/en/projects/46002-P-MA-AAC-001,"The present project is relative to the second tranche of irrigation of Gharb in Morocco. This project should allow, during the cruising period, the increase of agricultural production in Morocco with 131 165 tons of sugar, 26 334 tons of rice, 51 590 tons of vegetables, 7 035 tons of wheat, 3 517 tons of sunflower, 854 tons of meat and some 12 million liters of milk. The project implementation should have balance of payments effects as self-sufficiency in sugar requirements saves the country's currencies and should also affect peasants' cash incomes. The main components of the project are: (i) pumping stations and adductors; (ii) road infrastructure and infrastructure; (iii) irrigation and electricity networks; (iv) agricultural equipment and vehicles; (v) administrative infrastructure; and (vi) studies and control.","The project aims to increase the Moroccan domestic production of sugar to reduce imports and satisfy the domestic market with grain products (wheat) and vegetables, milk and meat, and improve the standard of living of the rural population.",The main beneficiaries of the project are the people of the region of Gharb.,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MA-AAC-001
P-ET-AA0-004,https://mapafrica.afdb.org/en/projects/46002-P-ET-AA0-004,,The project is designed to achieve the following objectives : i) to increase Ethiopia's foreign exchange earnings through coffee production for export ; and ii) to create job opportunities for the unemployed ; and improve the living standards and social lives of such people through the provision of certain amenities.,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ET-AA0-004
P-MG-AA0-014,https://mapafrica.afdb.org/en/projects/46002-P-MG-AA0-014,La ligne de credit permettra de renforcer les ressources de la BTM afin de pouvoir remplir sa mission de financement des petites et moyennes entreprises du secteur agricole.,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MG-AA0-014
P-BF-AA0-004,https://mapafrica.afdb.org/en/projects/46002-P-BF-AA0-004,"Le projet est né de la volonté du gouvernement du Burkina Faso
d’offrir une éducation et une formation professionnelle à tous les enfants du milieu rural. Pour
ce faire, le Gouvernement a conçu un vaste programme de formation des jeunes agriculteurs
(F.J.A.) visant, d’une part à leur donner un enseignement de base et d’autre part à développer en
eux des aptitudes professionnelles susceptibles de faciliter leur insertion dans les structures de
production agricole du pays. Le programme avait été placé sous la responsabilité du Ministère du
développement rural.","L’objectif global du projet consistait à aider le Gouvernement du Burkina Faso pour
l’extension et l’amélioration du système d’enseignement et de formation de base destiné à la
jeunesse rurale par : (i) la construction et l’équipement des Centres de formation des jeunes
agriculteurs (CFJA) ; (ii) la formation post-CFJA aux groupements de jeunes agriculteurs (GJA) et
dans les Centres de promotion rurale (CPR) ; (iii) l’appui aux services centraux et régionaux de la
Direction de la formation des jeunes agriculteurs (DFJA) et (iv) la formation de gestionnaires de
projets agricoles ainsi que d’entrepreneurs de construction et d’artisanat.",Jeunes agriculteurs,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-BF-AA0-004
P-GQ-AAA-001,https://mapafrica.afdb.org/en/projects/46002-P-GQ-AAA-001,The project will provide finance to support: i) research; ii) training of staff; and iii) technical assistance and local counterparts.,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-GQ-AAA-001
P-LS-AA0-002,https://mapafrica.afdb.org/en/projects/46002-P-LS-AA0-002,"- refinancement par le FODEX des prêts accordés par les banques; - Accord et refinancement de prêts participatifs ; - Financement des études techniques, financières et/ou de faisabilité des projets; - Couverture de 50% des risques encourus par les banques sur les prêts accordés; - Mise en place des mesures d'accompagnement; - Suivi du projet.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-LS-AA0-002
P-SO-AA0-003,https://mapafrica.afdb.org/en/projects/46002-P-SO-AA0-003,"Le projet fournira le personnel et les biens nécessaires au renforcement des services de vulgarisation et pour créer un Service consultatif de gestion agricole (""Farm Management Advisory Service"" - FMAS). Le projet portera aussi sur la formation du personnel qui aura pour tâche de déterminer les connaissances techniques les mieux adaptées aux besoins du plus grand nombre de paysans et de les communiquer à ceux qui prennent les décisions en matière de production.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SO-AA0-003
P-MR-AAB-002,https://mapafrica.afdb.org/en/projects/46002-P-MR-AAB-002,,"Le projet concernant le stockage de céréales est l'une des principales mesures d'urgence que le Gouvernement mauritanien a décidé de prendre pour combattre les effets de la sécheresse en construisant des installations de stockage et des éléments connexes d'infrastructure en vue de préserver les céréales et de distribuer ultérieurement aux populations démunies les céréales données par les organismes internationaux d'aide. A un stade ultérieur, ces installations pourraient permettre de stocker et préserver les céréales obtenues dans le cadre des programmes agricoles en cours de réalisation. Ainsi, le projet répondra aux objectifs suivants : a) créer des stocks de réserves de céréales et diminuer les pertes dues actuellement à l'absence de moyens de stockage : b) assurer l'approvisionnement régulier de la population en céréales.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MR-AAB-002
P-MZ-AA0-003,https://mapafrica.afdb.org/en/projects/46002-P-MZ-AA0-003,"Increase the overall existing capacity by about 25% from 12,450 tons to 15,532 tons and improve the tea quality.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MZ-AA0-003
P-CV-AB0-001,https://mapafrica.afdb.org/en/projects/46002-P-CV-AB0-001,"Le plateau d'Assomada ainsi que les deux bassins versant de Boa Entrada et Engenhos sont situés au coeur du massif montagneux central de l'ile de Santiago. Le climat est aride avec de violentes précipitations qui ravinent les sols et inondent les fonds de vallées.

Avant la mise en oeuvre du projet, la zone comprenait 2.600 ha de cultures sèches (association mais-haricot sur des pentes souvent fortes et très érodées) et 50 ha de cultures partiellement irrguées (canne à sucre principalement). Les rendements variaient selon les pluies de 0 à 1.200 kg/ha pour le mais et de 0 à 300kg/ha pour le haricot. La plupart des paysans exploitent les terres en régime indirect. Les exploitations sont de taille modeste, 1,5 ha en moyenne, dont plus de 90% en sec. La production agricole est limitée par la faible disponibilité en eau et la détérioration du patrimoine foncier par l'érosion. Le chomage et le sous-emploi sont très importants.","Le projet de développement agricole intégré d'Assomada vise à augmenter la production agricole, à réduire la dépendance à l'aide alimentaire extérieure et à augmenter l'emploi et les revenus ruraux.

Ses objectifs spécifiques sont d'améliorer les cultures sèches par des mesures de conservation et d'aménagement des sols et d'utiliser la mobilisation et la distribution d'eau afin d'irriguer 150 ha dans la zone du projet.

Les composantes du projet étaient les suivantes:

- Travaux de lutte contre l'érosion et aménagement des terres: les terres destinées aux cultures pluviales doivent être aménagées et les superficies cultivées en mais et en haricots sur les terres en pentes doivent être réduites et remplacées par du cajanus cajan. Il était prévu d'effectuer des travaux de DRS sur les pentes inférieures à 40% sur 830 ha et sur les pentes supérieures à 40% sur 1.300 ha; la construction de 61 ha de terrasses pouvant être irriguées; la construction de 1.911 seuils de retenue et de 86 barrage de retenue pour irriguer 89 ha.
- Fourniture et distribution d'eau d'irrigation: mise en place d'infrastructures de mobilisation et de distribution d'eau pour irriguer 150 ha. Il était prévu de creuser 3.000m de galeries captantes horizontales, 18 puits dans les fonds de vallées, d'aménager ou de remettre en état le réseau des 150 ha à irriguer.
- Autres infrastructures: amélioration de 17 km de routes d'accès, captage de 40 sources pour l'alimentation en eau des villages, rénovation et construction de batiments devant servir de bureaux et de logements pour le personnel de projet.
La section agronomie du projet devait mettre en place un système de vulgarisation; une section de génie civil devait préparer les plans d'exécution des infrastructures, la construction, l'entretien et le fonctionnement des ouvrages du projet. Le Bureau des Statistiques était chargé du suivi et de l'évaluation du projet.","Le groupe cible n'est pas spécifiquement identifié. La population rurale de la zone est de 9.500 personnes soit 1.600 familles.

Dans le domaine de la lutte contre l'érosion, l'aménagement de 830 ha de terrasses en sec a du être abandonné principalement en raison de son coût. 375 ha de semis de pois d'Angol formant des haies vives suivant les courbes de niveau et alternant avec la culture de mais-haricot ont pu être réalisés. Les 1.300 ha de semis de pois d'Angol en banquettes individuelles ont été remplacés (raisons de coût) par 1.130 ha de semis continu en pois d'Angol mais sans aménagement de banquettes.

Le surcoût de l'aménagement de terrasses à irriguer et la faible disponibilité en eau ont limité les réalisations à 4 ha au lieu des 61 ha prévus. Certaines infrastructures non prévues ont été réalisées: construction de 3,2 km de murs longitudinaux pour protéger les exploitations des vallées contre les crues des rivières. D'autre part, le projet a exécuté un programme FAO/Belgique de reboisement et a procédé à la plantation de 815 ha qui concourent grandement au contrôle de l'érosion dans la zone de projet.

La composante mobilisation et distribution d'eau d'irrigation a été fortement réduite en raison de la faiblesse des disponibilités en eau souterraine. Ont été réalisés: 360m de galerie filtrante, 6 puits, 1,7 km de canaux primaires, 1,9 km de canaux secondaires. Aussi n'ont pu être irrigués correctement que 32 ha et partiellement 22 ha sur les 150 ha irrigués prévus.

Comme autres infrastructures, le projet a réalisé 20 fontaines publiques (50 prévues), deux centres de collecte destinés à la commercialisation des produits agricoles, 20 km de routes de desserte (17 prévus), la construction de batiments devant accueillir l'administration du projet, la construction d'une porcherie et de ses dépendances (non prévu).",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-CV-AB0-001
P-SL-AA0-002,https://mapafrica.afdb.org/en/projects/46002-P-SL-AA0-002,"The proposed project aims at developing 12,500 acres of land for rice production by small-holder farmers in the riverain grassland area of Torma Bum. The project aims at increasing rice production in the country to help bridge the gap between local demand for rice and local production. Its actions would include : i) acquisition of farm machinery and implements, and the provision of mechanization services by Project Authority to participating farmers on credit basis ; ii) establishment of a seed multiplication and experimentation unit iii) infrastructural developments including the construction of access and feeder roads, and the provision of health and water facilities ; iv) acquisition and renovation, and at a later stage expansion of an existing rice mill for the processing of project output ; v) provision of staff housing and other ancillary facilities including workshops, transport facilities and VHF radio communications ; and vi) rice mill acquisition, rehabilitation and expansion.",The project would contribute to increase the production of rice thereby increasing farmers revenue and improve the country's food balance.,The project benefits are: Increased farmers revenues; - creation of rural employment; - increased rice supply thereby contributing to improving populations nutritional status.,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SL-AA0-002
P-ZR-AA0-008,https://mapafrica.afdb.org/en/projects/46002-P-ZR-AA0-008,Les principales activités qui ont sous-tendu les réalisations ci-dessus peuvent se résumer comme suit : - organisation et formation des paysans en matière de santé et nutrition équilibrée;,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ZR-AA0-008
P-SN-AA0-001,https://mapafrica.afdb.org/en/projects/46002-P-SN-AA0-001,Le projet vise à accroître la production céréalière et a améliorer le revenu de 775 familles.,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SN-AA0-001
P-LR-AA0-003,https://mapafrica.afdb.org/en/projects/46002-P-LR-AA0-003,,"Le projet a un triple objectif :  i)   consolidation des structure de la FDA ;   ii)  réalisation de travaux de recherche, d'études et de reconnaissance en vue du développement ultérieur de l'industrie forestière ;  iii) aménagement d'une plantation-pilote industrielle, d'ou l'on pourra tirer des enseignements aux fins de l'élaboration d'un programme de plantations industrielles.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-LR-AA0-003
P-RW-AA0-004,https://mapafrica.afdb.org/en/projects/46002-P-RW-AA0-004,"Le projet s'inscrivait dans le cadre général de la politique du pays en matière de développement théicole et de construction d'usines à thé. Il consistait à accroître les moyens de traitement des usines de Mulindi et de Pfunda en portant leurs capacités de 1.800 à 3.000 tonnes et de 350 à 900 tonnes en l'espace de deux ans, soit une augmentation totale de 1.750 tonnes.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-RW-AA0-004
P-BJ-AAE-002,https://mapafrica.afdb.org/en/projects/46002-P-BJ-AAE-002,"The project would involve the establishment of two breeding ranches at Mbétécoucou and Samiondji, with fattening facilities being provided for finixhing 1,000 steers par year in Samiondji, and the expansion of straight fattening activities on the existing Jpinou ranch for a further 1.000 animals par year. The project would include the following :  i)   clearing and establishment to improved pastures on 20.000 ha of land at Mbétécoucou and 15.000 ha at Samiondji ;  ii) the improvement of pastures and fencing at Kipnou ;  iii) provision of ranch infrastructure sunch as staff housing, animal shelters, stores, corrals, dips, facilities for handling and feeding of animals, tracks and firebreaks ;  iv)  the purchase of 1,900 breeding and 2,000 immature stock yearly for fattening ;  v)   provision of feeds and drugs for stock ;  vi)  provision of farm machinery and equipment ;  vii) the provision of a project management team.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-BJ-AAE-002
P-SD-AAG-002,https://mapafrica.afdb.org/en/projects/46002-P-SD-AAG-002,"The project would include the following :  i)   the provision of infrastructure such as land development, (2,500 feds) and power supplies ;  ii)  the provision of milking facilities to the tenant farmers ;  iii) the provision of buildings such as livestock shelters, feed mill building and staff housing ;  iv)  the provision of a feed milling plant and equipment ;  v)   provision of farm machinery and equipment ;  vi)  purchase of livestock for the APPC dairy unit ;  vii) provision of a projet management team.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SD-AAG-002
P-CG-AA0-006,https://mapafrica.afdb.org/en/projects/46002-P-CG-AA0-006,The project will provide finance to support: i) research; ii) training of staff; and iii) technical assistance and local counterparts.,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-CG-AA0-006
P-ST-AA0-001,https://mapafrica.afdb.org/en/projects/46002-P-ST-AA0-001,Le projet vise à relancer la production cacaoyère à Sao Tome et Principe.,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ST-AA0-001
P-TZ-AA0-014,https://mapafrica.afdb.org/en/projects/46002-P-TZ-AA0-014,,The main objective of the Dakawa Rice Project was rice import substitution through increased contribution toward the agricultural sector goal of self-sufficiency. Other objectives were the improvement of employment opportunities and living conditions and the provision of a sound basis and nucleus of agro-industrial activities in the rural area.,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-TZ-AA0-014
P-ZR-AA0-007,https://mapafrica.afdb.org/en/projects/46002-P-ZR-AA0-007,,Le projet a pour objectif de relancer en cinq ans (1978-82) la culture et l'exportation d'un certain nombre de palmeraies industrielles.,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ZR-AA0-007
P-MZ-AA0-002,https://mapafrica.afdb.org/en/projects/46002-P-MZ-AA0-002,,"Fundamental objective of the proposed studies is to provide outlines, determinations and evaluations of all general factors involved in the development of the project. The study would consider the general types locations and costs of irrigation works and also methods of operation and all conditions of water use.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MZ-AA0-002
P-GN-AB0-003,https://mapafrica.afdb.org/en/projects/46002-P-GN-AB0-003,,"Le projet avait initialement pour objectifs : - l'encadrement de 5.000 exploitants ; - l'augmentation de la production en riz pluvial de 7 250 tonnes ; - l'augmentation de la production en arachide et maïs de 2 700 t ; - la production de fibres de kénaf pour fabriquer des sacs d'emballages. En raison de multiples contraintes institutionnelles et techniques, le projet a été reformulé et réduit. Dès lors les objectifs ont été réorientés et restreints au volet agricole comprenant les trois premiers axes ci-dessus. Le volet industriel est annulé, ainsi que les prêts destinés à sa réalisation.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-GN-AB0-003
P-ML-AA0-014,https://mapafrica.afdb.org/en/projects/46002-P-ML-AA0-014,"ISSUE: The construction contract was awarded in June 1986, with a completion period of 24 months and supervision was awarded on 5th March 1986. The work physically commenced on 1st September 1986. The contractor was suspended in 1989 in order to allow Government investigation of the course of the failed sections of the road. The contract was eventually terminated. The project remains nearly 60% completed with UA 13.44 million disbursed. There have not been any disbursements since 9th March 1989. The Government has confirmed that the dispute between the Government and Messrs. ABU and Partners has been resolved with no legal or financial obligations to the Bank. On 18th December 1997, the Government requested Bank's approval to revise the list of works and services with a view to completing the project by utilizing the remaining UA 10.23 million. The Bank approved the Government's request on 19th April 1999, with the revised deadline for final disbursement being 31st December 2002. Since the approval of the revised list of works and services, the Government has entered into contract with a consulting firm for the design review, pre-tender activities and supervision of works. The draft tender documents are currently being reviewed by the Bank. However, the pre-qualifying contractors is completed. However, the Government has been very slow in implementing the project. ACTION: The Government should speed up the procurement process. The Bank's mission that is scheduled for early March will conclude the review of the tender Documents with the Government.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ML-AA0-014
P-TG-AA0-002,https://mapafrica.afdb.org/en/projects/46002-P-TG-AA0-002,"Technical --------- Rehabilitation of structures affected by the conflict has been proposed by the PIU.  However, supervision missions have not visited sites beyond Freetown due to the conflict, and the state of infrastructure will need to be assessed.  The mission will therefore need to carryout field visits to selected sites beyond Freetown, to determine the extent of the damage and rehabilitation required and validate the costs proposed by the PIU. Financial --------- The revision of Lists of Goods and Services has been carried out and approved by the Bank on 23 December 1999.  However, audits for the project are still outstanding.  The PIU has requested the approval of a shortlist of audit firms, and the TORs will need to be discussed and approved by the Bank. Management ---------- As the project draws to a close, the implementation schedule will need to be reviewed against the funds programmed and revised accordingly.  Particular attention needs to be given to the Civil Works programme, to complete rehabilitation of schools destroyed during the recent conflict.  Staffing of the PIU and other management issues have been reviewed, and the contract of the project manager extended to 31 December 2000.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-TG-AA0-002
P-SZ-AB0-001,https://mapafrica.afdb.org/en/projects/46002-P-SZ-AB0-001,"1. According to GOS there was an underpayment made by the Bank for the works at Anse Etoile School in the sum of SR 399,461.98 and have requested that this be addressed. PROPOSED ACTION: FLAD be requested to confirm actual status of disbursements with regard to this acivity",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SZ-AB0-001
P-KE-AAG-001,https://mapafrica.afdb.org/en/projects/46002-P-KE-AAG-001,a)  To assist the GOK in increasing domestic production of sugar through the expansion of the Nzoia Sugar Company; and  b)  to create employment and generate rural economic growth through the support of the Nzoia outgrowers Association.,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-KE-AAG-001
P-KM-AA0-005,https://mapafrica.afdb.org/en/projects/46002-P-KM-AA0-005,Appraisal Report completed. Loan Negotiation scheduled foe 25-26 May 2000.,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-KM-AA0-005
